Date,Price
10/9/2000,16.856636
10/16/2000,20.443573
10/23/2000,21.2276
10/30/2000,21.404007
11/6/2000,21.129601
11/13/2000,21.65881
11/20/2000,21.933233
11/27/2000,17.75827
12/4/2000,17.072239
12/11/2000,15.425777
12/18/2000,14.563348
12/25/2000,13.602915
1/1/2001,15.406178
1/8/2001,16.778231
1/15/2001,19.130323
1/22/2001,20.071154
1/29/2001,19.07152
2/5/2001,18.542305
2/12/2001,17.973875
2/19/2001,17.797478
2/26/2001,17.777864
3/5/2001,17.777864
3/12/2001,17.111441
3/19/2001,17.738667
3/26/2001,17.150644
4/2/2001,17.621065
4/9/2001,19.500387
4/16/2001,21.63921
4/23/2001,21.049629
4/30/2001,22.188036
5/7/2001,21.764656
5/14/2001,21.353834
5/21/2001,22.238213
5/28/2001,22.059454
6/4/2001,22.953245
6/11/2001,21.331875
6/18/2001,21.585903
6/25/2001,22.893661
7/2/2001,20.717196
7/9/2001,22.373066
7/16/2001,21.695669
7/23/2001,20.532162
7/30/2001,20.977495
8/6/2001,20.547844
8/13/2001,19.406294
8/20/2001,19.45961
8/27/2001,17.89156
9/3/2001,17.3741
9/10/2001,18.057774
9/17/2001,15.589641
9/24/2001,16.047512
10/1/2001,18.101677
10/8/2001,17.68144
10/15/2001,18.158123
10/22/2001,19.506653
10/29/2001,19.255756
11/5/2001,20.450624
11/12/2001,20.619974
11/19/2001,20.293819
11/26/2001,20.137009
12/3/2001,21.272289
12/10/2001,21.149975
12/17/2001,21.181345
12/24/2001,21.284834
12/31/2001,21.607853
1/7/2002,21.516897
1/14/2002,20.729729
1/21/2002,20.00843
1/28/2002,19.650913
2/4/2002,19.020559
2/11/2002,18.888836
2/18/2002,18.186348
2/25/2002,19.246353
3/4/2002,20.055479
3/11/2002,19.597601
3/18/2002,18.957836
3/25/2002,18.913929
4/1/2002,17.521484
4/8/2002,17.540312
4/15/2002,17.938591
4/22/2002,16.151003
4/29/2002,15.542597
5/6/2002,15.696277
5/13/2002,17.571669
5/20/2002,16.702961
5/27/2002,15.965977
6/3/2002,16.301535
6/10/2002,17.327055
6/17/2002,16.395615
6/24/2002,17.154558
7/1/2002,17.201605
7/8/2002,16.26391
7/15/2002,15.542597
7/22/2002,14.222293
7/29/2002,13.927498
8/5/2002,15.091002
8/12/2002,15.680583
8/19/2002,16.37681
8/26/2002,15.392065
9/2/2002,14.996921
9/9/2002,15.025139
9/16/2002,14.884017
9/23/2002,14.190932
9/30/2002,13.726788
10/7/2002,15.326211
10/14/2002,16.668467
10/21/2002,16.521078
10/28/2002,16.621429
11/4/2002,17.280014
11/11/2002,17.778654
11/18/2002,18.258482
11/25/2002,18.089128
12/2/2002,17.396051
12/9/2002,16.464624
12/16/2002,16.633972
12/23/2002,16.61202
12/30/2002,16.869179
1/6/2003,17.537161
