Date,Price
1/15/2007,104.940315
1/22/2007,104.43335
1/29/2007,106.402466
2/5/2007,105.763245
2/12/2007,107.078484
2/19/2007,106.762566
2/26/2007,101.891014
3/5/2007,103.441383
3/12/2007,101.788132
3/19/2007,105.777046
3/26/2007,104.751602
4/2/2007,106.404037
4/9/2007,107.200729
4/16/2007,109.635155
4/23/2007,110.306412
4/30/2007,111.331818
5/7/2007,111.287582
5/14/2007,112.585869
5/21/2007,111.899796
5/28/2007,113.662903
6/4/2007,111.420349
6/11/2007,112.917809
6/18/2007,111.537544
6/25/2007,111.448647
7/2/2007,113.337837
7/9/2007,114.723312
7/16/2007,113.723114
7/23/2007,107.507248
7/30/2007,106.536674
8/6/2007,107.210876
8/13/2007,107.210876
8/20/2007,109.892784
8/27/2007,109.344574
9/3/2007,108.218475
9/10/2007,110.315125
9/17/2007,112.589569
9/24/2007,113.577766
10/1/2007,116.011879
10/8/2007,116.369217
10/15/2007,111.411629
10/22/2007,114.351952
10/29/2007,112.550499
11/5/2007,108.039558
11/12/2007,108.523376
11/19/2007,107.287773
11/26/2007,110.659805
12/3/2007,112.334679
12/10/2007,109.550674
12/17/2007,110.26535
12/24/2007,110.229324
12/31/2007,105.746819
1/7/2008,104.878761
1/14/2008,98.824806
1/21/2008,99.558151
1/28/2008,104.452232
2/4/2008,99.580605
2/11/2008,101.129654
2/18/2008,101.488823
2/25/2008,100.141853
3/3/2008,97.066223
3/10/2008,96.991356
3/17/2008,98.83976
3/24/2008,98.900391
3/31/2008,102.946419
4/7/2008,100.30674
4/14/2008,104.142113
4/21/2008,104.984406
4/28/2008,106.420784
5/5/2008,104.457954
5/12/2008,107.285629
5/19/2008,103.510353
5/26/2008,105.548462
6/2/2008,102.495155
6/9/2008,102.389862
6/16/2008,98.953041
6/23/2008,96.387039
6/30/2008,95.46492
7/7/2008,93.598106
7/14/2008,95.215492
7/21/2008,94.837624
7/28/2008,95.35157
8/4/2008,97.777718
8/11/2008,98.382347
8/18/2008,97.989311
8/25/2008,97.339325
9/1/2008,94.036461
9/8/2008,95.29866
9/15/2008,93.809738
9/22/2008,91.866966
9/29/2008,83.877556
10/6/2008,67.275352
10/13/2008,70.855766
10/20/2008,66.165512
10/27/2008,73.607613
11/3/2008,71.349884
11/10/2008,65.84623
11/17/2008,60.448978
11/24/2008,68.484024
12/1/2008,66.842056
12/8/2008,67.647842
12/15/2008,67.039711
12/22/2008,66.794571
12/29/2008,71.239357
1/5/2009,68.273628
1/12/2009,65.185242
1/19/2009,63.690895
1/26/2009,63.476307
2/2/2009,66.656639
2/9/2009,63.422672
2/16/2009,59.330391
2/23/2009,56.655846
3/2/2009,52.816441
3/9/2009,58.311142
3/16/2009,58.786263
3/23/2009,62.988983
3/30/2009,65.034348
4/6/2009,66.23069
4/13/2009,67.210892
4/20/2009,66.886742
4/27/2009,67.836098
5/4/2009,71.764725
5/11/2009,68.469025
5/18/2009,68.708252
5/25/2009,71.417404
6/1/2009,72.976479
6/8/2009,73.385544
6/15/2009,71.039192
6/22/2009,71.28524
6/29/2009,69.709579
7/6/2009,68.273613
